date,Distrito Federal,Guanajuato,Jalisco,Morelos,Puebla,Queretaro,Nacional
2020-02-26,0,0,0,0,0,0,0
2020-02-27,2,0,0,0,0,0,4
2020-02-28,0,0,0,0,0,0,2
2020-02-29,0,0,0,0,0,0,2
2020-03-01,0,1,0,0,0,0,2
2020-03-02,0,3,0,0,0,0,5
2020-03-03,1,3,0,0,0,0,9
2020-03-04,3,3,0,0,0,0,10
2020-03-05,5,4,0,0,0,0,11
2020-03-06,1,4,0,0,0,0,6
2020-03-07,2,4,0,0,0,0,7
2020-03-08,3,2,0,0,0,0,8
2020-03-09,2,1,0,1,0,0,5
2020-03-10,3,1,0,0,0,2,17
2020-03-11,16,4,1,0,1,1,39
2020-03-12,23,0,3,0,2,1,41
2020-03-13,26,1,3,0,4,3,66
2020-03-14,23,0,5,1,3,1,52
2020-03-15,10,2,2,0,3,0,37
2020-03-16,28,2,12,0,4,0,77
2020-03-17,35,6,6,1,5,1,104
2020-03-18,31,12,17,1,6,2,116
2020-03-19,64,1,11,0,7,3,151
2020-03-20,36,5,5,1,5,0,132
2020-03-21,22,12,1,1,4,1,85
2020-03-22,16,4,3,0,2,0,70
2020-03-23,46,7,9,2,8,3,168
2020-03-24,62,1,8,3,16,5,220
2020-03-25,46,4,7,0,6,2,185
2020-03-26,71,9,7,2,16,1,224
2020-03-27,63,7,7,1,11,4,262
2020-03-28,62,4,2,3,14,2,191
2020-03-29,39,1,2,1,6,1,166
2020-03-30,82,5,8,3,18,1,345
2020-03-31,58,7,7,1,27,4,311
2020-04-01,70,1,3,3,20,4,382
2020-04-02,85,2,8,9,23,1,347
2020-04-03,99,5,10,1,15,4,392
2020-04-04,64,3,2,4,11,1,250
2020-04-05,59,4,2,3,11,0,259
2020-04-06,141,11,4,9,27,4,631
2020-04-07,144,6,6,7,14,5,515
2020-04-08,140,9,9,11,26,3,581
2020-04-09,150,2,5,8,17,3,483
2020-04-10,174,3,8,5,8,2,572
2020-04-11,127,7,5,2,15,3,464
2020-04-12,125,2,5,4,6,1,479
2020-04-13,293,3,10,9,25,9,953
2020-04-14,267,4,4,14,18,8,936
2020-04-15,256,13,11,11,29,3,985
2020-04-16,269,14,11,9,22,8,996
2020-04-17,354,30,14,13,31,7,1145
2020-04-18,213,12,7,9,24,3,815
2020-04-19,215,10,5,18,20,2,794
2020-04-20,506,15,11,34,32,5,1521
2020-04-21,485,10,17,22,24,2,1471
2020-04-22,466,13,25,35,27,7,1423
2020-04-23,418,9,20,31,32,9,1506
2020-04-24,571,13,32,37,45,11,1734
2020-04-25,312,11,10,15,44,1,1164
2020-04-26,283,8,9,35,25,2,1117
2020-04-27,550,25,23,51,37,3,1942
2020-04-28,619,18,14,32,46,10,1961
2020-04-29,655,14,22,52,52,12,1948
2020-04-30,609,16,26,43,49,6,1884
2020-05-01,408,14,15,36,43,8,1555
2020-05-02,381,10,29,29,43,12,1493
2020-05-03,350,12,16,50,39,5,1377
